release_id,gos
10105639,"Rock"
10105639,"Indie Rock"
6549215,"Folk, World, & Country"
649042,"Rock"
649042,"Folk, World, & Country"
649042,"Folk Rock"
649042,"Indie Rock"
8066727,"Hip Hop"
8066727,"Thug Rap"
8066727,"Trap"
578894,"Electronic"
578894,"Synth-pop"
758436,"Hip Hop"
7383499,"Jazz"
7383499,"Funk / Soul"
7383499,"Fusion"
7383499,"Contemporary Jazz"
7383499,"Psychedelic"
7383499,"Soul-Jazz"
1436340,"Rock"
1436340,"Pop Rock"
1436340,"Classic Rock"
464292,"Rock"
464292,"Psychedelic Rock"
3964901,"Rock"
3964901,"Pop Rock"
3964901,"Indie Rock"
5552990,"Rock"
5552990,"Indie Rock"
10266956,"Rock"
10266956,"Indie Rock"
7287041,"Rock"
7287041,"Indie Rock"
5761789,"Jazz"
5761789,"Hard Bop"
5166551,"Jazz"
5166551,"Modal"
6913263,"Hip Hop"
6913263,"Instrumental"
1136710,"Funk / Soul"
1136710,"Soul"
1136710,"Funk"
1924326,"Funk / Soul"
1924326,"Stage & Screen"
1924326,"Soul"
1924326,"Soundtrack"
1924326,"Funk"
10518427,"Rock"
10518427,"Pop"
10518427,"Indie Rock"
10518427,"Indie Pop"
213156,"Funk / Soul"
213156,"Soul"
1312950,"Electronic"
1312950,"Rock"
1312950,"Leftfield"
1312950,"Alternative Rock"
1312950,"Electro"
1312950,"Disco"
1432894,"Hip Hop"
1432894,"Jazz"
1432894,"Funk / Soul"
1432894,"Neo Soul"
1361007,"Rock"
1361007,"Folk, World, & Country"
1361007,"Folk Rock"
1361007,"Acoustic"
1361007,"Indie Rock"
1361007,"Folk"
2940876,"Rock"
2940876,"Folk Rock"
2940876,"Indie Rock"
8971083,"Hip Hop"
8971083,"Pop"
8971083,"Folk, World, & Country"
8971083,"Folk"
8971083,"Indie Pop"
9118910,"Electronic"
9118910,"Rock"
9118910,"Indie Rock"
8003028,"Hip Hop"
2427653,"Funk / Soul"
2427653,"Soul"
203315,"Hip Hop"
4818970,"Hip Hop"
4818970,"Gangsta"
4818970,"Soul"
4818970,"Conscious"
2288696,"Hip Hop"
7753856,"Hip Hop"
8679649,"Rock"
8679649,"Alternative Rock"
8679649,"Indie Rock"
2173833,"Rock"
2173833,"Lo-Fi"
2173833,"Indie Rock"
2673671,"Electronic"
2673671,"Rock"
2673671,"Pop"
2673671,"Art Rock"
6148737,"Electronic"
6148737,"Experimental"
6148737,"Techno"
6148737,"House"
6148737,"Leftfield"
3229084,"Rock"
3229084,"Lo-Fi"
3229084,"Indie Rock"
6812151,"Rock"
6812151,"Pop"
6812151,"Indie Pop"
6812151,"Lo-Fi"
214916,"Hip Hop"
214916,"Funk / Soul"
214916,"RnB/Swing"
9649225,"Electronic"
9649225,"Rock"
9649225,"Lo-Fi"
9649225,"Abstract"
9649225,"Experimental"
9649225,"Indie Rock"
1751970,"Rock"
1751970,"Alternative Rock"
1751970,"Country Rock"
1751970,"Indie Rock"
1907961,"Rock"
1907961,"Alternative Rock"
1907961,"Folk Rock"
1222645,"Rock"
1222645,"Alternative Rock"
1222645,"Country Rock"
1259612,"Rock"
1259612,"Indie Rock"
9861643,"Hip Hop"
375912,"Jazz"
375912,"Bop"
163751,"Electronic"
163751,"Rock"
163751,"Alternative Rock"
163751,"Leftfield"
163751,"IDM"
8162188,"Rock"
8162188,"Glam"
8162188,"Classic Rock"
8162188,"Art Rock"
6301074,"Funk / Soul"
6301074,"Pop"
6301074,"Soul"
6790128,"Hip Hop"
6790128,"Conscious"
6625795,"Funk / Soul"
6625795,"Blues"
6625795,"Soul"
6625795,"Funk"
9485790,"Blues"
1355727,"Rock"
1355727,"Alternative Rock"
1355727,"Indie Rock"
1545865,"Hip Hop"
1545865,"Conscious"
4372862,"Electronic"
4372862,"Pop"
4372862,"Downtempo"
1901255,"Rock"
1901255,"Indie Rock"
2606952,"Hip Hop"
8379739,"Hip Hop"
8379739,"Pop Rap"
8379739,"Conscious"
8117868,"Rock"
8117868,"Folk, World, & Country"
8117868,"Folk Rock"
8117868,"Indie Rock"
8596847,"Rock"
8596847,"Funk / Soul"
8596847,"Pop"
8596847,"Indie Pop"
8596847,"Soul"
1172564,"Electronic"
1172564,"Rock"
1172564,"Synth-pop"
1172564,"Indie Rock"
8131669,"Electronic"
8131669,"Rock"
8131669,"Funk / Soul"
8131669,"New Wave"
8131669,"Art Rock"
8131669,"Funk"
170719,"Rock"
170719,"Funk / Soul"
170719,"New Wave"
170719,"Pop Rock"
170719,"Funk"
500311,"Electronic"
500311,"Hip Hop"
500311,"Electro"
619872,"Hip Hop"
619872,"Instrumental"
9360950,"Hip Hop"
9360950,"Funk / Soul"
9360950,"Soul"
6636294,"Folk, World, & Country"
10058415,"Rock"
10058415,"Indie Rock"
10058415,"Folk Rock"
10081123,"Rock"
10081123,"Indie Rock"
305438,"Funk / Soul"
305438,"Soul"
3975953,"Hip Hop"
3975953,"Conscious"
7557957,"Hip Hop"
7557957,"Funk / Soul"
7557957,"Pop Rap"
7557957,"Jazzy Hip-Hop"
2229427,"Hip Hop"
2229427,"Funk / Soul"
2229427,"Conscious"
2229427,"Neo Soul"
3129975,"Hip Hop"
3129975,"Hardcore Hip-Hop"
9816263,"Hip Hop"
9816263,"Conscious"
7409818,"Funk / Soul"
7409818,"Soul"
7409818,"Neo Soul"
5894557,"Hip Hop"
5894557,"Funk / Soul"
5894557,"Soul"
5894557,"Funk"
5894557,"Neo Soul"
152332,"Electronic"
152332,"House"
152332,"Disco"
2085604,"Pop"
2085604,"Vocal"
7699636,"Funk / Soul"
7699636,"Pop"
9233121,"Electronic"
9233121,"Hip Hop"
9233121,"Gangsta"
9233121,"Abstract"
4366953,"Jazz"
4366953,"Hard Bop"
1174296,"Electronic"
1174296,"Rock"
1174296,"Alternative Rock"
1174296,"Art Rock"
10505306,"Rock"
10505306,"Alternative Rock"
10505306,"Experimental"
10505306,"Indie Rock"
10106408,"Rock"
10106408,"Indie Rock"
9656791,"Rock"
9656791,"Pop"
9656791,"Pop Rock"
9656791,"Indie Rock"
